Country;Subject Descriptor;Units;Scale;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Estimates Start After
Afghanistan;Gross national savings;Percent of GDP;Units;n/a;n/a;61.151;59.718;72.570;67.274;50.333;119.243;63.990;78.090;59.699;52.981;36.204;24.538;24.009;22.176;28.312;26.058;30.191;29.897;30.985;10.578;-13.612;n/a;2023
Afghanistan;Inflation, average consumer prices;Index;Units;n/a;n/a;31.263;42.413;49.351;54.566;58.269;63.327;80.057;74.604;76.229;85.227;90.717;97.417;101.970;101.296;105.736;110.998;111.693;114.264;120.671;130.038;143.822;n/a;2023
Afghanistan;Inflation, average consumer prices;Percent change;Units;n/a;n/a;n/a;35.663;16.358;10.569;6.785;8.681;26.419;-6.811;2.179;11.804;6.441;7.386;4.674;-0.662;4.384;4.976;0.626;2.302;5.607;7.762;10.600;n/a;2023
Afghanistan;Inflation, end of period consumer prices;Index;Units;n/a;n/a;42.890;45.691;51.752;57.219;59.671;69.273;82.306;74.211;81.814;89.433;94.687;101.543;103.053;104.218;109.000;112.315;113.162;116.300;122.100;140.833;143.560;n/a;2023
Afghanistan;Inflation, end of period consumer prices;Percent change;Units;n/a;n/a;n/a;6.530;13.266;10.562;4.285;16.092;18.814;-9.836;10.246;9.312;5.875;7.241;1.487;1.131;4.588;3.041;0.755;2.773;4.987;15.342;1.936;n/a;2023
Afghanistan;Volume of imports of goods and services;Percent change;Units;n/a;n/a;n/a;36.217;-0.428;55.011;-2.201;-10.212;-8.264;31.051;31.905;12.404;31.699;3.402;-14.247;16.626;-8.390;3.879;-4.972;-7.077;-3.564;n/a;n/a;n/a;2023
Afghanistan;Volume of Imports of goods;Percent change;Units;n/a;n/a;n/a;34.048;-2.825;51.498;-0.770;-15.539;-3.338;28.855;33.083;7.674;36.242;7.503;-16.014;24.731;-8.259;1.936;-7.879;-5.731;-2.479;n/a;n/a;n/a;2023
Afghanistan;Volume of exports of goods and services;Percent change;Units;n/a;n/a;n/a;49.526;-8.443;41.964;-6.922;-11.906;-6.741;30.006;11.252;1.999;-19.357;-40.137;51.946;-10.213;-15.971;-6.170;28.021;-3.302;0.534;n/a;n/a;n/a;2023
Afghanistan;Volume of exports of goods;Percent change;Units;n/a;n/a;n/a;87.518;-29.694;13.425;-32.393;36.237;51.106;-21.253;-2.114;-10.383;10.546;5.228;35.572;15.494;12.256;17.629;2.578;1.872;-16.606;n/a;n/a;n/a;2023
Afghanistan;Unemployment rate;Percent of total labor force;Units;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Employment;Persons;Millions;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;Population;Persons;Millions;n/a;n/a;18.707;19.477;20.237;20.947;21.596;22.426;22.997;23.596;24.269;25.031;25.864;26.736;27.601;28.425;29.200;29.700;31.600;32.200;32.941;33.698;34.263;n/a;2023
Afghanistan;General government revenue;National currency;Billions;n/a;n/a;12.235;21.618;31.209;44.926;65.518;81.163;88.162;117.745;154.612;177.821;260.571;271.903;280.187;301.356;344.327;347.829;405.873;395.923;397.564;218.316;194.034;n/a;2023
Afghanistan;General government revenue;Percent of GDP;Units;n/a;n/a;6.845;9.826;12.676;14.733;18.946;18.986;17.036;19.391;21.722;21.265;25.210;24.346;23.684;24.569;28.156;27.059;30.570;26.941;25.694;17.449;15.118;n/a;2023
Afghanistan;General government total expenditure;National currency;Billions;n/a;n/a;12.411;26.242;37.101;47.723;63.154;91.687;108.156;128.435;147.969;183.439;258.689;278.950;300.521;318.255;342.771;356.482;384.176;411.473;432.266;224.384;206.834;n/a;2023
Afghanistan;General government total expenditure;Percent of GDP;Units;n/a;n/a;6.943;11.927;15.069;15.651;18.262;21.448;20.899;21.151;20.789;21.937;25.028;24.977;25.402;25.947;28.029;27.732;28.936;27.999;27.937;17.934;16.116;n/a;2023
Afghanistan;General government net lending/borrowing;National currency;Billions;n/a;n/a;-0.176;-4.624;-5.891;-2.797;2.364;-10.524;-19.994;-10.691;6.643;-5.618;1.882;-7.047;-20.334;-16.898;1.556;-8.653;21.697;-15.550;-34.703;-6.067;-12.800;n/a;2023
Afghanistan;General government net lending/borrowing;Percent of GDP;Units;n/a;n/a;-0.098;-2.102;-2.393;-0.917;0.684;-2.462;-3.864;-1.761;0.933;-0.672;0.182;-0.631;-1.719;-1.378;0.127;-0.673;1.634;-1.058;-2.243;-0.485;-0.997;n/a;2023
Afghanistan;General government structural balance;National currency;Billions;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government structural balance;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government primary net lending/borrowing;National currency;Billions;n/a;n/a;n/a;n/a;n/a;-2.652;2.504;-10.393;-19.899;-10.578;6.726;-4.794;2.660;-6.075;-19.935;-16.270;2.350;-7.767;22.486;-14.971;-34.131;-5.786;-12.692;n/a;2023
Afghanistan;General government primary net lending/borrowing;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;-0.870;0.724;-2.431;-3.845;-1.742;0.945;-0.573;0.257;-0.544;-1.685;-1.326;0.192;-0.604;1.694;-1.019;-2.206;-0.462;-0.989;n/a;2023
Afghanistan;General government net debt;National currency;Billions;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government net debt;Percent of GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;General government gross debt;National currency;Billions;n/a;n/a;618.456;595.360;603.134;629.234;79.485;86.083;98.622;98.658;54.784;62.726;69.865;77.111;102.928;112.281;103.181;102.807;98.042;93.317;120.646;144.052;140.213;n/a;2023
Afghanistan;General government gross debt;Percent of GDP;Units;n/a;n/a;345.977;270.602;244.967;206.356;22.985;20.137;19.057;16.247;7.697;7.501;6.759;6.904;8.700;9.154;8.437;7.998;7.384;6.350;7.797;11.513;10.925;n/a;2023
Afghanistan;Gross domestic product corresponding to fiscal year, current prices;National currency;Billions;n/a;n/a;178.756;220.013;246.210;304.926;345.817;427.495;517.509;607.227;711.759;836.222;1,033.591;1,116.827;1,183.039;1,226.570;1,222.917;1,285.460;1,327.690;1,469.596;1,547.289;1,251.171;1,283.442;n/a;2023
Afghanistan;Current account balance;U.S. dollars;Billions;n/a;n/a;1.481;1.348;1.915;1.864;1.444;5.424;3.477;5.018;4.510;4.754;2.205;0.291;1.350;0.744;1.627;1.431;2.227;2.209;2.814;n/a;n/a;n/a;2020
Afghanistan;Current account balance;Percent of GDP;Units;n/a;n/a;33.908;29.616;37.216;30.226;20.844;63.390;33.769;41.587;29.430;26.574;10.864;1.444;6.549;3.709;9.029;7.576;12.143;11.705;13.974;n/a;n/a;n/a;2020
Albania;Gross domestic product, constant prices;National currency;Billions;391.330;423.784;443.009;467.501;493.283;520.544;551.270;584.254;628.073;649.141;673.204;690.339;700.125;707.140;719.688;735.657;760.044;788.943;820.653;837.786;810.121;882.291;925.032;955.527;2022
Albania;Gross domestic product, constant prices;Percent change;Units;6.946;8.293;4.537;5.529;5.515;5.526;5.903;5.983;7.500;3.354;3.707;2.545;1.418;1.002;1.774;2.219;3.315;3.802;4.019;2.088;-3.302;8.909;4.844;3.297;2022
Albania;Gross domestic product, current prices;National currency;Billions;501.199;563.449;610.494;677.738;737.656;804.163;872.735;965.528;1,080.676;1,143.936;1,239.645;1,300.624;1,332.811;1,350.053;1,395.305;1,434.307;1,472.479;1,550.645;1,636.730;1,691.903;1,647.431;1,856.172;2,138.339;2,304.574;2022
Albania;Gross domestic product, current prices;U.S. dollars;Billions;3.483;3.928;4.348;5.611;7.185;8.052;8.896;10.677;12.881;12.044;11.937;12.899;12.324;12.784;13.246;11.389;11.862;13.053;15.157;15.399;15.192;17.984;19.083;22.743;2022
Albania;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;13.364;14.798;15.709;16.905;18.317;19.935;21.763;23.690;25.958;26.994;28.335;29.655;30.530;30.604;32.529;33.595;34.736;37.609;40.016;41.538;40.696;46.354;52.021;55.695;2022
Albania;Gross domestic product, deflator;Index;Units;128.076;132.957;137.806;144.970;149.540;154.485;158.314;165.258;172.062;176.223;184.141;188.404;190.368;190.917;193.876;194.969;193.736;196.547;199.442;201.949;203.356;210.381;231.164;241.184;2022
Albania;Gross domestic product per capita, constant prices;National currency;Units;126,683.823;138,483.631;145,200.807;153,802.798;162,964.375;172,852.940;184,214.300;196,717.319;213,100.247;221,737.475;231,101.542;237,622.398;241,389.084;244,254.867;249,104.367;255,374.206;264,262.008;273,542.432;284,678.593;290,805.662;281,507.205;307,104.629;322,717.940;334,285.320;2021
Albania;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;6,038.985;6,601.478;6,921.684;7,331.739;7,768.469;8,239.854;8,781.447;9,377.463;10,158.433;10,570.167;11,016.550;11,327.398;11,506.955;11,643.566;11,874.740;12,173.622;12,597.301;13,039.696;13,570.554;13,862.630;13,419.375;14,639.597;15,383.880;15,935.294;2021
Albania;Gross domestic product per capita, current prices;National currency;Units;162,251.412;184,123.189;200,095.796;222,968.140;243,696.866;267,031.938;291,636.221;325,091.661;366,664.675;390,752.872;425,552.917;447,689.081;459,526.455;466,324.606;482,954.103;497,901.557;511,970.591;537,640.298;567,769.708;587,280.296;572,461.974;646,089.367;746,007.397;806,241.204;2021
Albania;Gross domestic product per capita, current prices;U.S. dollars;Units;1,127.640;1,283.573;1,425.125;1,846.119;2,373.580;2,673.773;2,972.745;3,595.053;4,370.562;4,114.090;4,097.833;4,439.890;4,248.909;4,415.600;4,584.919;3,953.611;4,124.405;4,525.887;5,257.714;5,345.058;5,278.986;6,259.762;6,657.637;7,956.559;2021
Albania;Gross domestic product per capita, current prices;"Purchasing power parity; international dollars";Units;4,326.130;4,835.563;5,148.904;5,561.608;6,051.350;6,619.815;7,272.491;7,976.495;8,807.247;9,220.736;9,726.931;10,207.743;10,526.271;10,570.982;11,259.261;11,661.999;12,077.602;13,039.696;13,881.427;14,418.218;14,141.507;16,134.746;18,148.805;19,484.587;2021
Albania;Output gap in percent of potential GDP;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Gross domestic product based on purchasing-power-parity (PPP) share of world total;Percent;Units;0.026;0.028;0.028;0.029;0.029;0.029;0.029;0.029;0.031;0.032;0.031;0.031;0.030;0.029;0.030;0.030;0.030;0.031;0.031;0.031;0.030;0.031;0.032;0.032;2022
Albania;Implied PPP conversion rate;National currency per current international dollar;Units;37.505;38.077;38.862;40.091;40.271;40.338;40.101;40.756;41.632;42.378;43.750;43.858;43.655;44.114;42.894;42.694;42.390;41.231;40.901;40.732;40.481;40.043;41.105;41.378;2022
Albania;Total investment;Percent of GDP;Units;30.796;34.989;35.264;33.897;34.197;36.870;35.698;34.462;33.374;32.641;31.318;33.462;29.824;27.491;27.288;26.237;25.470;24.672;24.118;23.032;22.677;25.469;24.873;24.075;2022
Albania;Gross national savings;Percent of GDP;Units;23.768;28.703;25.056;26.156;28.359;27.784;29.590;23.837;17.569;16.654;20.023;20.254;19.674;16.827;13.361;15.804;16.796;17.085;17.109;14.742;13.991;16.661;17.897;20.229;2022
Albania;Inflation, average consumer prices;Index;Units;66.582;68.660;72.231;73.938;76.058;77.855;79.700;82.059;84.775;86.667;89.800;92.892;94.783;96.608;98.167;100.000;101.287;103.297;105.393;106.880;108.613;110.831;118.286;123.927;2022
Albania;Inflation, average consumer prices;Percent change;Units;0.039;3.120;5.202;2.363;2.867;2.363;2.370;2.960;3.310;2.231;3.615;3.443;2.036;1.925;1.613;1.868;1.287;1.985;2.029;1.411;1.621;2.043;6.726;4.769;2022
Albania;Inflation, end of period consumer prices;Index;Units;70.004;72.474;73.692;76.123;77.800;79.385;81.380;83.843;85.700;88.700;91.800;93.400;95.700;97.400;98.100;100.000;102.165;104.011;105.882;107.100;108.225;112.229;120.563;125.325;2022
Albania;Inflation, end of period consumer prices;Percent change;Units;4.205;3.527;1.681;3.298;2.204;2.038;2.513;3.027;2.215;3.501;3.495;1.743;2.463;1.776;0.719;1.937;2.165;1.808;1.799;1.150;1.051;3.700;7.425;3.950;2022
Albania;Volume of imports of goods and services;Percent change;Units;-3.432;23.272;11.868;8.409;10.704;8.434;5.360;18.950;3.567;-2.225;-9.360;3.639;-7.604;-0.612;5.418;0.070;8.264;6.032;5.766;4.719;-19.547;23.655;11.680;6.736;2022
Albania;Volume of Imports of goods;Percent change;Units;-14.300;33.181;6.066;7.733;21.067;9.912;7.134;21.240;-0.650;-2.590;-11.014;3.808;-5.195;-1.306;6.113;2.159;9.381;4.390;4.234;3.459;-5.092;18.143;4.052;-1.086;2022
Albania;Volume of exports of goods and services;Percent change;Units;16.254;23.900;3.878;9.510;20.630;6.026;12.578;17.000;-7.623;3.321;10.451;1.013;-0.407;8.288;3.199;5.908;10.388;10.113;3.523;1.651;-27.441;41.449;25.247;7.621;2022
Albania;Volume of exports of goods;Percent change;Units;-7.088;23.048;8.253;25.150;24.013;2.948;5.279;19.999;-54.982;-15.604;60.692;12.221;23.237;26.686;-6.564;6.572;-0.129;-1.377;14.145;-8.415;-1.946;18.816;20.158;-15.486;2022
Albania;Unemployment rate;Percent of total labor force;Units;16.800;16.440;15.751;15.000;14.400;14.100;13.800;13.400;13.100;13.800;14.000;14.000;13.400;15.900;17.500;17.100;15.200;13.700;12.300;11.470;11.675;11.400;11.100;11.000;2022
Albania;Employment;Persons;Millions;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;Population;Persons;Millions;3.089;3.060;3.051;3.040;3.027;3.011;2.993;2.970;2.947;2.928;2.913;2.905;2.900;2.895;2.889;2.881;2.876;2.884;2.883;2.881;2.878;2.873;2.866;2.858;2021
Albania;General government revenue;National currency;Billions;130.642;145.639;154.595;167.224;184.355;204.533;226.283;252.291;290.078;298.487;320.653;330.449;330.384;323.709;366.569;379.231;407.021;430.397;449.389;460.349;425.906;510.951;572.790;643.406;2022
Albania;General government revenue;Percent of GDP;Units;26.066;25.848;25.323;24.674;24.992;25.434;25.928;26.130;26.842;26.093;25.867;25.407;24.789;23.977;26.272;26.440;27.642;27.756;27.457;27.209;25.853;27.527;26.787;27.919;2022
Albania;General government total expenditure;National currency;Billions;169.596;184.163;192.517;201.152;222.439;232.339;254.762;282.987;342.860;373.832;364.290;376.183;376.241;394.117;442.718;441.161;429.073;452.193;475.910;491.928;536.280;596.279;651.015;669.677;2022
Albania;General government total expenditure;Percent of GDP;Units;33.838;32.685;31.535;29.680;30.155;28.892;29.191;29.309;31.726;32.679;29.387;28.923;28.229;29.193;31.729;30.758;29.139;29.162;29.077;29.075;32.552;32.124;30.445;29.059;2022
Albania;General government net lending/borrowing;National currency;Billions;-38.954;-38.524;-37.922;-33.928;-38.083;-27.806;-28.479;-30.695;-52.782;-75.345;-43.637;-45.734;-45.857;-70.408;-76.149;-61.931;-22.052;-21.795;-26.521;-31.579;-110.374;-85.328;-78.226;-26.271;2022
Albania;General government net lending/borrowing;Percent of GDP;Units;-7.772;-6.837;-6.212;-5.006;-5.163;-3.458;-3.263;-3.179;-4.884;-6.586;-3.520;-3.516;-3.441;-5.215;-5.458;-4.318;-1.498;-1.406;-1.620;-1.866;-6.700;-4.597;-3.658;-1.140;2022
Albania;General government structural balance;National currency;Billions;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;General government structural balance;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;General government primary net lending/borrowing;National currency;Billions;-9.381;-14.904;-13.159;-4.105;-9.660;-1.777;-3.474;-5.166;-21.476;-39.044;-2.033;-4.611;-4.359;-27.073;-36.074;-23.288;14.207;10.109;9.993;3.564;-75.980;-49.507;-38.602;21.320;2022
Albania;General government primary net lending/borrowing;Percent of GDP;Units;-1.872;-2.645;-2.155;-0.606;-1.310;-0.221;-0.398;-0.535;-1.987;-3.413;-0.164;-0.355;-0.327;-2.005;-2.585;-1.624;0.965;0.652;0.611;0.211;-4.612;-2.667;-1.805;0.925;2022
Albania;General government net debt;National currency;Billions;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;756.420;807.380;921.361;914.430;986.827;1,028.471;1,015.754;1,006.271;1,023.533;1,148.990;1,231.318;1,264.182;1,209.478;2022
Albania;General government net debt;Percent of GDP;Units;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;58.158;60.577;68.246;65.536;68.802;69.846;65.505;61.481;60.496;69.744;66.336;59.120;52.482;2022
Albania;General government gross debt;National currency;Billions;319.608;341.522;391.308;408.300;423.962;468.050;494.737;517.043;595.883;682.547;715.517;772.735;828.268;950.316;1,004.512;1,057.318;1,079.687;1,114.833;1,137.070;1,139.796;1,248.296;1,396.171;1,401.586;1,383.190;2022
Albania;General government gross debt;Percent of GDP;Units;63.769;60.613;64.097;60.245;57.474;58.203;56.688;53.550;55.140;59.666;57.720;59.413;62.144;70.391;71.992;73.716;73.324;71.895;69.472;67.368;75.772;75.218;65.546;60.019;2022
Albania;Gross domestic product corresponding to fiscal year, current prices;National currency;Billions;501.199;563.449;610.494;677.738;737.656;804.163;872.735;965.528;1,080.676;1,143.936;1,239.645;1,300.624;1,332.811;1,350.053;1,395.305;1,434.307;1,472.479;1,550.645;1,636.730;1,691.903;1,647.431;1,856.172;2,138.339;2,304.574;2022
Albania;Current account balance;U.S. dollars;Billions;-0.246;-0.248;-0.443;-0.432;-0.420;-0.733;-0.592;-1.130;-2.031;-1.853;-1.351;-1.666;-1.257;-1.183;-1.430;-0.981;-0.898;-0.978;-1.024;-1.166;-1.315;-1.380;-1.138;-0.843;2022
Albania;Current account balance;Percent of GDP;Units;-7.070;-6.315;-10.179;-7.695;-5.849;-9.106;-6.656;-10.580;-15.768;-15.383;-11.321;-12.917;-10.202;-9.253;-10.797;-8.609;-7.572;-7.492;-6.754;-7.571;-8.659;-7.676;-5.966;-3.708;2022
Algeria;Gross domestic product, constant prices;National currency;Billions;4,453.987;4,587.607;4,835.061;5,149.509;5,382.809;5,671.374;5,834.106;6,017.031;6,164.589;6,235.848;6,536.119;6,731.724;6,895.477;7,074.545;7,363.629;7,596.450;7,891.460;8,011.705;8,127.059;8,202.856;7,791.281;8,087.743;8,380.232;8,730.844;2022
Algeria;Gross domestic product, constant prices;Percent change;Units;3.800;3.000;5.394;6.503;4.531;5.361;2.869;3.135;2.452;1.156;4.815;2.993;2.433;2.597;4.086;3.162;3.884;1.524;1.440;0.933;-5.017;3.805;3.616;4.184;2022
Algeria;Gross domestic product, current prices;National currency;Billions;4,475.172;4,587.607;4,901.720;5,687.159;6,623.355;7,843.981;8,941.655;9,872.971;11,649.694;10,920.163;13,224.716;15,924.670;17,611.810;18,231.035;19,253.765;18,879.025;19,783.349;21,071.656;22,683.845;23,090.099;20,902.124;25,157.827;32,028.423;33,225.060;2022
Algeria;Gross domestic product, current prices;U.S. dollars;Billions;59.418;59.413;61.516;73.482;91.914;107.047;123.084;142.483;180.384;150.317;177.785;218.332;227.144;229.701;238.943;187.494;180.764;190.004;194.507;193.361;164.774;185.884;225.631;244.746;2022
Algeria;Gross domestic product, current prices;"Purchasing power parity; international dollars";Billions;284.160;299.274;320.319;347.886;373.425;405.782;430.298;455.813;475.987;484.459;513.958;540.261;540.352;545.344;565.630;539.234;532.443;542.305;562.715;577.497;555.764;603.363;669.201;722.613;2022
Algeria;Gross domestic product, deflator;Index;Units;100.476;100.000;101.379;110.441;123.046;138.308;153.265;164.084;188.978;175.119;202.333;236.562;255.411;257.699;261.471;248.524;250.693;263.011;279.115;281.489;268.276;311.061;382.190;380.548;2022
Algeria;Gross domestic product per capita, constant prices;National currency;Units;146,003.651;148,207.243;153,914.210;161,502.551;166,310.616;172,618.281;174,930.458;177,713.719;178,213.658;176,813.213;181,669.894;183,340.792;183,903.908;184,728.434;188,260.708;190,087.083;193,247.631;192,030.519;190,874.608;188,901.431;177,676.243;181,434.166;185,031.437;189,910.835;2019
Algeria;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;9,882.848;10,032.007;10,418.306;10,931.954;11,257.407;11,684.367;11,840.876;12,029.272;12,063.113;11,968.318;12,297.062;12,410.163;12,448.280;12,504.092;12,743.188;12,866.813;13,080.748;12,998.363;12,920.120;12,786.558;12,026.735;12,281.106;12,524.602;12,854.883;2019
Algeria;Gross domestic product per capita, current prices;National currency;Units;146,698.076;148,207.243;156,036.162;178,364.717;204,639.282;238,745.427;268,107.553;291,599.356;336,783.961;309,633.747;367,577.853;433,713.811;469,710.895;476,043.424;492,247.405;472,412.607;484,458.541;505,061.144;532,759.759;531,735.883;476,662.425;564,371.247;707,171.993;722,702.039;2019
Algeria;Gross domestic product per capita, current prices;U.S. dollars;Units;1,947.755;1,919.410;1,958.238;2,304.603;2,839.820;3,258.153;3,690.572;4,208.244;5,214.762;4,262.144;4,941.493;5,946.345;6,057.974;5,997.896;6,108.878;4,691.686;4,426.580;4,554.150;4,568.244;4,452.856;3,757.585;4,169.984;4,981.822;5,323.635;2019
Algeria;Gross domestic product per capita, current prices;"Purchasing power parity; international dollars";Units;9,314.874;9,668.362;10,196.694;10,910.645;11,537.572;12,350.678;12,902.094;13,462.489;13,760.434;13,736.500;14,285.348;14,714.190;14,411.304;14,239.859;14,461.054;13,493.328;13,038.562;12,998.363;13,216.093;13,299.019;12,673.926;13,535.380;14,775.633;15,718.072;2019
Algeria;Output gap in percent of potential GDP;Percent of potential GDP;Units;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria;Gross domestic product based on purchasing-power-parity (PPP) share of world total;Percent;Units;0.559;0.562;0.577;0.590;0.586;0.590;0.576;0.565;0.562;0.571;0.569;0.564;0.535;0.515;0.515;0.481;0.457;0.442;0.433;0.425;0.416;0.406;0.407;0.411;2022
Algeria;Implied PPP conversion rate;National currency per current international dollar;Units;15.749;15.329;15.303;16.348;17.737;19.331;20.780;21.660;24.475;22.541;25.731;29.476;32.593;33.430;34.040;35.011;37.156;38.856;40.311;39.983;37.610;41.696;47.861;45.979;2022
Algeria;Total investment;Percent of GDP;Units;25.403;29.516;33.135;32.370;34.945;30.505;30.125;34.291;37.574;47.567;44.251;40.727;42.557;45.924;48.502;53.301;54.205;50.927;48.939;47.041;44.520;40.902;35.979;38.639;2022
Algeria;Gross national savings;Percent of GDP;Units;37.097;41.399;40.221;44.357;47.039;50.256;53.611;55.747;56.641;47.832;51.056;49.789;47.965;46.277;44.544;38.734;39.547;39.174;40.259;38.295;33.182;38.475;44.429;40.795;2022
Algeria;Inflation, average consumer prices;Index;Units;95.969;100.000;101.433;105.755;109.952;111.472;114.048;118.244;123.985;131.103;136.230;142.360;155.053;160.100;164.770;172.653;183.699;193.970;202.253;206.200;211.180;226.440;247.425;270.486;2022
Algeria;Inflation, average consumer prices;Percent change;Units;0.300;4.200;1.433;4.261;3.968;1.382;2.311;3.679;4.855;5.741;3.911;4.500;8.916;3.255;2.917;4.784;6.398;5.591;4.270;1.952;2.415;7.226;9.267;9.320;2022
Algeria;Inflation, end of period consumer prices;Index;Units;95.969;100.000;102.100;107.780;110.140;111.490;115.770;121.330;127.230;134.550;138.216;145.348;158.480;160.300;168.720;176.080;188.330;197.620;202.960;207.900;215.210;233.470;255.170;275.170;2022
