Country;Region;Classement_general_de_l_indice;Classement_de_la_valeur_des_services_centralises_recus;Classement_de_la_valeur_des_services_centralises_reçus_dans_le_commerce_de_detail;Classement_du_volume_d_echange_pair_a_pair_P2P;Classement_de_la_valeur_recue_en_DeFi;Classement_de_la_valeur_reçue_en_DeFi_de_detail
Slovakia;Eastern Europe;98;75;81;115;97;97
Finland;Central, Northern, & Western Europe;99;97;97;123;80;80
Latvia;Central, Northern, & Western Europe;100;78;91;148;64;64
Slovenia;Central, Northern, & Western Europe;101;72;98;129;82;82
Croatia;Central, Northern, & Western Europe;102;91;93;109;95;95
Zimbabwe;Sub-Saharan Africa;103;83;102;52;120;120
Guatemala;Latin America;104;87;76;126;100;100
Honduras;Latin America;105;99;90;97;109;109
Guinea;Sub-Saharan Africa;106;131;129;78;73;73
Estonia;Central, Northern, & Western Europe;107;102;92;139;83;83
Angola;Sub-Saharan Africa;108;100;106;67;116;116
Lebanon;Middle East & North Africa;109;101;96;83;118;118
Burkina Faso;Sub-Saharan Africa;110;94;83;39;131;131
Norway;Central, Northern, & Western Europe;111;116;116;124;102;102
Denmark;Central, Northern, & Western Europe;112;104;105;138;106;106
North Macedonia;Central, Northern, & Western Europe;113;112;109;147;89;89
Somalia;Sub-Saharan Africa;114;95;74;111;125;125
Ireland;Central, Northern, & Western Europe;115;115;125;131;94;94
Kuwait;Middle East & North Africa;116;119;122;130;93;93
Mauritius;Sub-Saharan Africa;117;138;141;110;62;62
Togo;Sub-Saharan Africa;118;126;120;51;129;129
Libya;Middle East & North Africa;119;125;124;108;114;114
Zambia;Sub-Saharan Africa;120;114;117;41;132;132
Uruguay;Latin America;121;110;107;117;123;123
Puerto Rico;North America;122;120;131;133;105;105
Cyprus;Middle East & North Africa;123;118;121;145;110;110
Mali;Sub-Saharan Africa;124;127;108;31;137;137
Madagascar;Sub-Saharan Africa;125;93;95;53;138;138
Bosnia and Herzegovina;Central, Northern, & Western Europe;126;109;123;144;119;119
Bahamas;Latin America;127;130;130;128;117;117
Luxembourg;Central, Northern, & Western Europe;128;143;145;107;115;115
Trinidad and Tobago;Latin America;129;133;136;112;127;127
Democratic Republic of Congo;Sub-Saharan Africa;130;96;75;10;145;145
Syria;Middle East & North Africa;131;124;104;85;140;140
Montenegro;Central, Northern, & Western Europe;132;129;132;149;124;124
Bahrain;Middle East & North Africa;133;136;142;141;122;122
Macao;Eastern Asia;134;135;135;143;128;128
Tajikistan;Central & Southern Asia and Oceania;135;122;128;116;139;139
Cuba;Latin America;136;132;126;136;134;134
Oman;Middle East & North Africa;137;140;138;150;121;121
Qatar;Middle East & North Africa;138;139;137;142;130;130
Malta;Central, Northern, & Western Europe;139;141;143;151;126;126
Namibia;Sub-Saharan Africa;140;134;140;118;142;142
Maldives;Central & Southern Asia and Oceania;141;150;148;114;136;136
Rwanda;Sub-Saharan Africa;142;137;133;48;147;147
Seychelles;Sub-Saharan Africa;143;145;134;134;143;143
Botswana;Sub-Saharan Africa;144;144;147;132;141;141
Antigua and Barbuda;Latin America;145;148;151;135;135;135
Niger;Sub-Saharan Africa;146;149;144;59;146;146
Afghanistan;Middle East & North Africa;147;128;127;125;149;149
Barbados;Latin America;148;89;61;119;151;151
Suriname;Latin America;149;147;146;146;144;144
Gabon;Sub-Saharan Africa;150;151;150;120;148;148
Iceland;Central, Northern, & Western Europe;151;146;149;153;133;133
Fiji;Central & Southern Asia and Oceania;152;142;139;137;152;152
Brunei Darussalam;Central & Southern Asia and Oceania;153;152;152;152;150;150
Cabo Verde;Sub-Saharan Africa;154;153;153;140;154;154
Guyana;Latin America;155;154;154;154;153;153
